,date,open,close,high,low,volume,code
681,2020-10-26,1556.122,1580.122,1600.042,1537.122,66015.0,600519
682,2020-10-27,1580.122,1562.122,1581.122,1553.242,43944.0,600519
683,2020-10-28,1563.122,1601.932,1614.122,1562.202,34637.0,600519
684,2020-10-29,1591.962,1613.122,1645.122,1584.122,39374.0,600519
685,2020-10-30,1615.122,1607.142,1633.122,1602.122,26055.0,600519
686,2020-11-02,1612.122,1611.132,1632.122,1609.122,21066.0,600519
687,2020-11-03,1622.112,1632.122,1643.022,1612.622,23497.0,600519
688,2020-11-04,1637.122,1636.702,1641.122,1622.122,16444.0,600519
689,2020-11-05,1654.122,1659.022,1669.602,1649.222,23524.0,600519
690,2020-11-06,1667.672,1637.742,1668.712,1627.122,23052.0,600519
691,2020-11-09,1638.502,1679.692,1687.802,1637.742,41470.0,600519
692,2020-11-10,1690.042,1682.122,1701.602,1673.122,30189.0,600519
693,2020-11-11,1682.122,1668.472,1714.622,1668.122,34851.0,600519
694,2020-11-12,1667.132,1671.912,1687.122,1659.392,23473.0,600519
695,2020-11-13,1661.122,1642.122,1666.002,1628.122,28155.0,600519
696,2020-11-16,1648.122,1667.172,1667.172,1634.382,30613.0,600519
697,2020-11-17,1677.122,1652.922,1679.472,1638.192,25224.0,600519
698,2020-11-18,1652.122,1630.772,1657.652,1620.282,35179.0,600519
699,2020-11-19,1621.622,1657.312,1662.122,1617.722,27816.0,600519
700,2020-11-20,1657.122,1657.082,1673.122,1649.772,21875.0,600519
701,2020-11-23,1708.132,1727.332,1747.022,1708.132,66637.0,600519
702,2020-11-24,1707.112,1700.622,1719.622,1688.592,32465.0,600519
703,2020-11-25,1698.622,1664.002,1706.002,1661.122,28226.0,600519
704,2020-11-26,1663.122,1671.512,1677.112,1662.302,23228.0,600519
705,2020-11-27,1669.782,1675.022,1677.152,1655.122,21569.0,600519
706,2020-11-30,1672.122,1651.032,1676.022,1651.032,31940.0,600519
707,2020-12-01,1663.122,1674.122,1676.112,1657.132,28196.0,600519
708,2020-12-02,1683.122,1675.132,1686.122,1668.122,23572.0,600519
709,2020-12-03,1675.132,1686.122,1692.782,1669.222,29506.0,600519
710,2020-12-04,1689.122,1730.232,1737.222,1689.122,62491.0,600519
711,2020-12-07,1739.822,1749.522,1777.512,1737.672,58331.0,600519
712,2020-12-08,1752.122,1787.122,1812.122,1750.122,61454.0,600519
713,2020-12-09,1803.072,1777.122,1803.122,1776.122,31152.0,600519
714,2020-12-10,1777.122,1770.022,1786.892,1765.122,32654.0,600519
715,2020-12-11,1771.902,1757.122,1774.442,1741.932,30776.0,600519
716,2020-12-14,1764.892,1766.122,1767.102,1752.122,33052.0,600519
717,2020-12-15,1770.622,1753.132,1774.342,1742.122,29605.0,600519
718,2020-12-16,1767.622,1777.122,1782.792,1757.332,32150.0,600519
719,2020-12-17,1782.622,1802.632,1805.122,1777.122,36031.0,600519
720,2020-12-18,1788.932,1782.122,1806.132,1778.202,27077.0,600519
721,2020-12-21,1777.122,1779.622,1788.352,1774.722,30697.0,600519
722,2020-12-22,1787.092,1818.122,1836.112,1779.632,40651.0,600519
723,2020-12-23,1835.112,1778.772,1843.322,1758.142,47706.0,600519
724,2020-12-24,1755.122,1767.462,1796.002,1732.142,37857.0,600519
725,2020-12-25,1740.112,1767.122,1784.122,1737.122,23088.0,600519
726,2020-12-28,1763.722,1810.122,1825.922,1763.172,30080.0,600519
727,2020-12-29,1810.122,1804.122,1823.922,1792.122,22868.0,600519
728,2020-12-30,1807.122,1870.122,1870.122,1807.112,34452.0,600519
729,2020-12-31,1878.122,1935.122,1936.102,1876.122,38860.0,600519
730,2021-01-04,1937.102,1934.122,1942.112,1920.932,43514.0,600519
731,2021-01-05,1927.122,1996.572,1996.572,1919.582,52116.0,600519
732,2021-01-06,2001.922,2037.122,2062.122,1973.152,47410.0,600519
733,2021-01-07,2034.122,2077.122,2077.122,2012.122,37931.0,600519
734,2021-01-08,2079.122,2027.122,2088.002,2000.142,53862.0,600519
735,2021-01-11,2027.122,2036.852,2087.622,1995.722,51080.0,600519
736,2021-01-12,2025.122,2098.022,2098.022,2022.122,41059.0,600519
737,2021-01-13,2101.122,2101.122,2110.452,2072.122,34390.0,600519
738,2021-01-14,2093.122,2071.122,2100.122,2053.232,36152.0,600519
739,2021-01-15,2052.122,2019.122,2071.472,1966.122,59509.0,600519
740,2021-01-18,1998.182,2000.122,2028.602,1977.392,39144.0,600519
741,2021-01-19,2010.232,1946.532,2033.422,1943.972,46345.0,600519
742,2021-01-20,1945.122,1977.752,1992.612,1919.622,45082.0,600519
743,2021-01-21,1985.122,2007.122,2027.142,1978.122,38310.0,600519
744,2021-01-22,2006.122,2017.072,2037.122,1997.222,29248.0,600519
745,2021-01-25,2020.122,2112.122,2116.622,2020.122,55957.0,600519
746,2021-01-26,2122.122,2079.012,2124.122,2062.232,31747.0,600519
747,2021-01-27,2079.012,2026.122,2079.012,2022.122,37120.0,600519
748,2021-01-28,2017.122,2025.122,2046.782,1997.142,35129.0,600519
749,2021-01-29,2038.312,2053.302,2086.602,2027.342,33701.0,600519
